NGC1357,0.784
NGC1832,0.763
NGC2276,0.688
NGC2775,0.661
NGC2903,2.303
NGC3034,2.398
NGC3147,0.82
NGC3227,1.045
NGC3245,0.559
NGC3310,0.533
NGC3368,0.956
NGC3471,0.388
NGC3516,0.255
NGC3623,2.377
NGC3627,2.259
NGC3941,0.667
NGC4472,1.039
NGC4631,3.823
NGC4775,0.558
NGC5248,1.039
NGC5548,0.315
NGC5586,0.855
NGC6181,0.642
NGC6217,0.528
NGC6643,0.862
NGC6764,0.538
NGC7469,0.18
